Postcode,Type,Subtype,Price,Bedrooms,Area,Kitchen,Fireplace,Frontages,Garden,Garden_surface,Terrace,Terrace_Surface,Furnished,Type_of_sale,State_of_building,Swimmingpool,ID IMMOWEB,Cadastral_income,Plot_surface
1800,APARTMENT,APARTMENT,395000,2.0,100.0,USA_INSTALLED,,2.0,,,True,12.0,,BUY_REGULAR,GOOD,,20488896,925.0,
1070,APARTMENT,APARTMENT,240000,3.0,90.0,NOT_INSTALLED,,2.0,,,True,10.0,,BUY_REGULAR,AS_NEW,,20485701,1465.0,
1180,APARTMENT,APARTMENT,380000,3.0,88.0,HYPER_EQUIPPED,,2.0,True,300.0,True,3.0,,BUY_REGULAR,GOOD,,20486896,,
1180,APARTMENT,APARTMENT,360000,2.0,108.0,INSTALLED,,2.0,,,True,107.0,,BUY_REGULAR,GOOD,,20486259,,
2000,APARTMENT,APARTMENT,239000,1.0,62.0,INSTALLED,,3.0,,,,,,BUY_REGULAR,GOOD,,20488660,694.0,
8420,APARTMENT,APARTMENT,365000,3.0,95.0,,,,True,230.0,True,80.0,,BUY_REGULAR,GOOD,,20488167,960.0,
1050,APARTMENT,APARTMENT,675000,4.0,165.0,HYPER_EQUIPPED,,2.0,,,True,20.0,,BUY_REGULAR,JUST_RENOVATED,,20483929,2500.0,
2100,APARTMENT,APARTMENT,289000,2.0,116.0,INSTALLED,,2.0,,,True,12.0,,BUY_REGULAR,GOOD,,20480153,1093.0,
1180,APARTMENT,APARTMENT,470000,3.0,179.0,HYPER_EQUIPPED,,2.0,,,True,10.0,,BUY_REGULAR,GOOD,,20484538,3487.0,
2100,APARTMENT,APARTMENT,235000,3.0,86.0,SEMI_EQUIPPED,,2.0,,,True,4.0,,BUY_REGULAR,GOOD,,20484288,934.0,
2800,APARTMENT,APARTMENT,261000,2.0,90.0,INSTALLED,,2.0,,,True,7.0,,BUY_REGULAR,JUST_RENOVATED,,20487691,1001.0,
2610,APARTMENT,APARTMENT,245000,2.0,88.0,SEMI_EQUIPPED,,2.0,,,True,6.0,,BUY_REGULAR,GOOD,,20487441,758.0,
2100,APARTMENT,APARTMENT,279000,2.0,117.0,SEMI_EQUIPPED,,2.0,,,True,48.0,,BUY_REGULAR,TO_BE_DONE_UP,,20488467,,
8400,APARTMENT,APARTMENT,489000,,,,,,,,,,,BUY_REGULAR,GOOD,,20489086,,
9000,APARTMENT,APARTMENT,499000,2.0,108.0,,,,,,True,14.0,,BUY_REGULAR,GOOD,,20489085,,
3660,APARTMENT,APARTMENT,385000,2.0,191.0,,,,,,True,40.0,,BUY_REGULAR,GOOD,,20488518,962.0,
4400,APARTMENT,APARTMENT,139000,1.0,60.0,INSTALLED,,3.0,,,,,,BUY_REGULAR,GOOD,,20489083,,
8620,APARTMENT,APARTMENT,349000,1.0,70.0,,,,,,True,,,BUY_REGULAR,GOOD,,20489081,691.0,
8500,APARTMENT,APARTMENT,169000,2.0,74.0,INSTALLED,,3.0,,,True,,,BUY_REGULAR,GOOD,,20489069,,
9900,APARTMENT,APARTMENT,260000,1.0,82.0,,,,,,True,,,BUY_REGULAR,GOOD,,20489075,,
1080,APARTMENT,APARTMENT,312000,3.0,113.0,INSTALLED,,,,,True,2.0,,BUY_REGULAR,,,20489072,1646.0,
1030,APARTMENT,APARTMENT,279000,3.0,140.0,NOT_INSTALLED,,2.0,True,79.0,True,,,BUY_REGULAR,TO_RENOVATE,,20489073,,
1020,APARTMENT,APARTMENT,249000,3.0,130.0,NOT_INSTALLED,,2.0,,,True,10.0,,BUY_REGULAR,GOOD,,20489057,,
8400,APARTMENT,APARTMENT,595000,3.0,186.0,,,,,,True,,,BUY_REGULAR,AS_NEW,,20489062,1155.0,
2600,APARTMENT,APARTMENT,360000,2.0,86.0,HYPER_EQUIPPED,,2.0,,,True,15.0,True,BUY_REGULAR,AS_NEW,,20378577,974.0,
2150,APARTMENT,APARTMENT,199000,1.0,48.0,INSTALLED,,2.0,,,True,1.0,,BUY_REGULAR,,,20489080,619.0,
9000,APARTMENT,APARTMENT,235000,1.0,59.0,,,,,,True,10.0,,BUY_REGULAR,GOOD,,20489051,,
8370,APARTMENT,APARTMENT,375000,,,,,,,,,,,BUY_REGULAR,GOOD,,20489043,,
2600,APARTMENT,APARTMENT,295000,2.0,80.0,,,,,,True,6.0,,BUY_REGULAR,GOOD,,20489049,1201.0,
8420,APARTMENT,APARTMENT,87000,1.0,32.0,,,,,,,,,BUY_REGULAR,GOOD,,20489044,354.0,
8370,APARTMENT,APARTMENT,375000,,,,,,,,,,,BUY_REGULAR,GOOD,,20489058,,
1700,APARTMENT,APARTMENT,299000,2.0,76.0,HYPER_EQUIPPED,,2.0,True,138.0,True,24.0,,BUY_REGULAR,AS_NEW,,20489039,1212.0,
8370,APARTMENT,APARTMENT,375000,2.0,,,,,,,,,,BUY_REGULAR,AS_NEW,,20489045,,
2600,APARTMENT,APARTMENT,195000,1.0,74.0,INSTALLED,,,,,True,12.0,,BUY_REGULAR,GOOD,,20480761,870.0,
2140,APARTMENT,APARTMENT,185000,1.0,75.0,INSTALLED,,2.0,,,True,10.0,,BUY_REGULAR,GOOD,,20482375,793.0,
1070,APARTMENT,APARTMENT,290000,2.0,108.0,SEMI_EQUIPPED,,2.0,,,,,,BUY_REGULAR,AS_NEW,,20485693,,
2320,APARTMENT,APARTMENT,427000,2.0,129.0,,,3.0,,,True,,,BUY_REGULAR,GOOD,,20488868,,
2350,APARTMENT,APARTMENT,239000,2.0,136.0,SEMI_EQUIPPED,,4.0,,,True,,,BUY_REGULAR,GOOD,,20484872,,
2660,APARTMENT,APARTMENT,219000,3.0,85.0,INSTALLED,,2.0,,,True,8.0,,BUY_REGULAR,GOOD,,20488284,979.0,
8553,APARTMENT,APARTMENT,195000,3.0,120.0,,,,,,True,,,BUY_REGULAR,TO_BE_DONE_UP,,20488096,783.0,
2140,APARTMENT,APARTMENT,174900,2.0,80.0,SEMI_EQUIPPED,,2.0,,,True,17.0,,BUY_REGULAR,GOOD,,20483115,984.0,
8301,APARTMENT,APARTMENT,1400000,3.0,324.0,INSTALLED,,2.0,,,True,40.0,,BUY_REGULAR,GOOD,,20486658,,
8400,APARTMENT,APARTMENT,215000,2.0,79.0,,,,,,True,4.0,,BUY_REGULAR,TO_RENOVATE,,20486341,1070.0,
