Postcode,Type,Subtype,Price,Bedrooms,Area,Kitchen,Fireplace,Frontages,Garden,Garden_surface,Terrace,Terrace_Surface,Furnished,Type_of_sale,State_of_building,Swimmingpool,ID IMMOWEB,Cadastral_income,Plot_surface
3600,APARTMENT,APARTMENT,209900,2.0,91.0,,,2.0,,,,,,BUY_REGULAR,GOOD,,20491529,,
8420,APARTMENT,APARTMENT,365000,3.0,95.0,,,,True,230.0,True,80.0,,BUY_REGULAR,GOOD,,20488167,960.0,
1020,APARTMENT,APARTMENT,239000,2.0,72.0,INSTALLED,,2.0,,,,,,BUY_REGULAR,GOOD,,20360118,510.0,
2300,APARTMENT,APARTMENT,289000,3.0,124.0,SEMI_EQUIPPED,,,,,True,4.0,,BUY_REGULAR,GOOD,,20490855,,
9000,APARTMENT,APARTMENT,385000,2.0,99.0,,,,,,True,10.0,,BUY_REGULAR,GOOD,,20491273,,
8434,APARTMENT,APARTMENT,299000,2.0,127.0,,,,,,True,,,BUY_REGULAR,JUST_RENOVATED,,20491635,745.0,
3630,APARTMENT,APARTMENT,278000,2.0,102.0,HYPER_EQUIPPED,,3.0,,,,,,BUY_REGULAR,GOOD,,20491547,,
2600,APARTMENT,APARTMENT,159000,2.0,72.0,SEMI_EQUIPPED,,,,,True,1.0,,BUY_REGULAR,TO_RENOVATE,,20491430,,
9051,APARTMENT,APARTMENT,385000,2.0,99.0,,,,,,True,10.0,,BUY_REGULAR,GOOD,,20491341,,
9000,APARTMENT,APARTMENT,390000,2.0,96.0,,,,,,True,16.0,,BUY_REGULAR,GOOD,,20489094,,
3600,APARTMENT,APARTMENT,285000,2.0,89.0,,,2.0,,,,,,BUY_REGULAR,GOOD,,20491538,,
1800,APARTMENT,APARTMENT,395000,2.0,100.0,USA_INSTALLED,,2.0,,,True,12.0,,BUY_REGULAR,GOOD,,20488896,925.0,
9160,APARTMENT,APARTMENT,240000,2.0,86.0,SEMI_EQUIPPED,,2.0,,,True,7.0,,BUY_REGULAR,GOOD,,20489547,,
9000,APARTMENT,APARTMENT,400000,2.0,96.0,,,,,,True,16.0,,BUY_REGULAR,GOOD,,20489961,,
9051,APARTMENT,APARTMENT,400000,2.0,96.0,,,,,,True,16.0,,BUY_REGULAR,GOOD,,20489959,,
2610,APARTMENT,APARTMENT,219500,1.0,68.0,INSTALLED,,2.0,,,True,,,BUY_REGULAR,JUST_RENOVATED,,20474791,773.0,
9051,APARTMENT,APARTMENT,400000,2.0,96.0,,,,,,True,16.0,,BUY_REGULAR,GOOD,,20489958,,
9000,APARTMENT,APARTMENT,405000,3.0,111.0,,,,,,True,27.0,,BUY_REGULAR,GOOD,,20489964,,
2140,APARTMENT,APARTMENT,319000,2.0,65.0,INSTALLED,,,,,True,,,BUY_REGULAR,,,20491211,,
1861,APARTMENT,APARTMENT,344000,2.0,79.0,INSTALLED,,4.0,,,True,10.0,,BUY_REGULAR,GOOD,,20491197,,
9051,APARTMENT,APARTMENT,405000,3.0,111.0,,,,,,True,27.0,,BUY_REGULAR,GOOD,,20490521,,
1861,APARTMENT,APARTMENT,405000,2.0,101.0,INSTALLED,,4.0,,,True,11.0,,BUY_REGULAR,GOOD,,20491215,,
9000,APARTMENT,APARTMENT,450000,3.0,113.0,,,,,,True,27.0,,BUY_REGULAR,GOOD,,20489962,,
9051,APARTMENT,APARTMENT,450000,3.0,113.0,,,,,,True,27.0,,BUY_REGULAR,GOOD,,20490497,,
1861,APARTMENT,APARTMENT,374000,2.0,93.0,INSTALLED,,4.0,,,True,7.0,,BUY_REGULAR,GOOD,,20491208,,
1861,APARTMENT,APARTMENT,389000,2.0,96.0,INSTALLED,,4.0,,,True,7.0,,BUY_REGULAR,GOOD,,20491206,,
1150,APARTMENT,APARTMENT,290000,1.0,60.0,INSTALLED,,2.0,,,True,13.0,,BUY_REGULAR,AS_NEW,,20486580,1415.0,
1861,APARTMENT,APARTMENT,389000,2.0,101.0,INSTALLED,,4.0,,,True,11.0,,BUY_REGULAR,GOOD,,20491212,,
8680,APARTMENT,APARTMENT,145000,2.0,,,,,,,True,,,BUY_REGULAR,,,20425942,,
3200,APARTMENT,APARTMENT,320000,2.0,105.0,INSTALLED,,2.0,,,True,,,BUY_REGULAR,GOOD,,20486242,,
1861,APARTMENT,APARTMENT,319000,1.0,83.0,INSTALLED,,4.0,,,True,11.0,,BUY_REGULAR,GOOD,,20491195,,
1140,APARTMENT,APARTMENT,250000,1.0,65.0,SEMI_EQUIPPED,,,,,,,,BUY_REGULAR,GOOD,,20447432,,
8300,APARTMENT,APARTMENT,975000,3.0,93.0,HYPER_EQUIPPED,,2.0,,,True,,,BUY_REGULAR,JUST_RENOVATED,,20486675,1041.0,
1081,APARTMENT,APARTMENT,299000,3.0,122.0,SEMI_EQUIPPED,,2.0,,,True,7.0,,BUY_REGULAR,GOOD,,20478732,,
5030,APARTMENT,APARTMENT,379000,3.0,100.0,SEMI_EQUIPPED,,4.0,,,True,9.0,,BUY_REGULAR,GOOD,,20486596,1258.0,
8200,APARTMENT,APARTMENT,385000,2.0,105.0,,,,,,True,7.0,,BUY_REGULAR,GOOD,,20491308,,
1070,APARTMENT,APARTMENT,265000,2.0,93.0,HYPER_EQUIPPED,,2.0,,,,,,BUY_REGULAR,GOOD,,20490942,,
9000,APARTMENT,APARTMENT,375000,3.0,112.0,,,,,,True,13.0,,BUY_REGULAR,GOOD,,20491303,696.0,
2180,APARTMENT,APARTMENT,199000,2.0,78.0,SEMI_EQUIPPED,,3.0,,,,,,BUY_REGULAR,GOOD,,20490430,,
9000,APARTMENT,APARTMENT,499000,2.0,108.0,,,,,,True,14.0,,BUY_REGULAR,GOOD,,20489085,,
3300,APARTMENT,APARTMENT,175000,2.0,81.0,,,4.0,,,True,22.0,,BUY_REGULAR,TO_RENOVATE,,20477502,755.0,
2180,APARTMENT,APARTMENT,199000,2.0,78.0,SEMI_EQUIPPED,,3.0,,,,,,BUY_REGULAR,GOOD,,20490429,,
9000,APARTMENT,APARTMENT,695000,2.0,138.0,,,,,,,,,BUY_REGULAR,GOOD,,20489097,,
8200,APARTMENT,APARTMENT,405000,3.0,124.0,,,,,,True,9.0,,BUY_REGULAR,GOOD,,20491300,,
2100,APARTMENT,APARTMENT,218000,2.0,82.0,,,,,,,,,BUY_REGULAR,,,20491302,909.0,
1000,APARTMENT,APARTMENT,230000,1.0,54.0,HYPER_EQUIPPED,,2.0,,,True,8.0,,BUY_REGULAR,AS_NEW,,20491301,,
2830,APARTMENT,APARTMENT,475000,6.0,268.0,,,,,,True,,,BUY_REGULAR,GOOD,,20491287,1846.0,
8200,APARTMENT,APARTMENT,299000,1.0,78.0,,,,,,True,7.0,,BUY_REGULAR,GOOD,,20491299,,
9000,APARTMENT,APARTMENT,249000,1.0,61.0,HYPER_EQUIPPED,,2.0,,,,,,BUY_REGULAR,GOOD,,20491291,872.0,
8200,APARTMENT,APARTMENT,359000,2.0,105.0,,,,,,True,7.0,,BUY_REGULAR,GOOD,,20491277,,
8200,APARTMENT,APARTMENT,399000,3.0,124.0,,,,,,True,9.0,,BUY_REGULAR,GOOD,,20491279,,
1180,APARTMENT,APARTMENT,620000,3.0,181.0,HYPER_EQUIPPED,,2.0,,,True,7.0,,BUY_REGULAR,GOOD,,20491281,2868.0,
4500,APARTMENT,APARTMENT,299000,3.0,122.0,INSTALLED,,4.0,,,True,15.0,,BUY_REGULAR,GOOD,,20490172,916.0,
9000,APARTMENT,APARTMENT,385000,2.0,99.0,,,,,,True,10.0,,BUY_REGULAR,GOOD,,20491273,,
8370,APARTMENT,APARTMENT,305000,2.0,67.0,INSTALLED,,,,,True,,True,BUY_REGULAR,GOOD,,20480875,842.0,
1300,APARTMENT,APARTMENT,350000,2.0,90.0,USA_HYPER_EQUIPPED,,2.0,,,True,20.0,,BUY_REGULAR,JUST_RENOVATED,,20489818,,
9300,APARTMENT,APARTMENT,460000,6.0,395.0,SEMI_EQUIPPED,,3.0,,,True,,,BUY_REGULAR,TO_RENOVATE,,20487439,2032.0,
3500,APARTMENT,APARTMENT,285000,2.0,93.0,INSTALLED,,,,,True,40.0,,BUY_REGULAR,GOOD,,20480180,900.0,
2610,APARTMENT,APARTMENT,235000,2.0,90.0,SEMI_EQUIPPED,,2.0,,,True,9.0,,BUY_REGULAR,TO_BE_DONE_UP,,20482829,913.0,
2160,APARTMENT,APARTMENT,289000,3.0,93.0,INSTALLED,,3.0,,,True,,,BUY_REGULAR,GOOD,,20481094,,
2000,APARTMENT,APARTMENT,325000,1.0,66.0,INSTALLED,,,,,True,7.0,,BUY_REGULAR,GOOD,,20482171,,
2960,APARTMENT,APARTMENT,349000,2.0,120.0,INSTALLED,,2.0,True,365.0,True,65.0,,BUY_REGULAR,GOOD,,20475869,,
8300,APARTMENT,APARTMENT,1050000,3.0,79.0,,,2.0,,,True,,True,BUY_REGULAR,GOOD,,20486463,,
2650,APARTMENT,APARTMENT,249000,2.0,87.0,INSTALLED,,2.0,,,True,,,BUY_REGULAR,GOOD,,20478738,929.0,
8370,APARTMENT,APARTMENT,365000,2.0,98.0,INSTALLED,,,,,True,,True,BUY_REGULAR,GOOD,,20481791,1073.0,
2640,APARTMENT,APARTMENT,245000,2.0,85.0,INSTALLED,,3.0,,,True,4.0,,BUY_REGULAR,GOOD,,20478737,753.0,
2100,APARTMENT,APARTMENT,279000,3.0,113.0,SEMI_EQUIPPED,,2.0,,,True,,,BUY_REGULAR,GOOD,,20485513,1217.0,
2600,APARTMENT,APARTMENT,249000,2.0,80.0,INSTALLED,,,,,True,14.0,,BUY_REGULAR,GOOD,,20483456,932.0,
1400,APARTMENT,APARTMENT,250000,2.0,98.0,INSTALLED,,2.0,,,True,10.0,,BUY_REGULAR,GOOD,True,20482005,1546.0,
2140,APARTMENT,APARTMENT,215000,2.0,82.0,INSTALLED,,,,,True,6.0,,BUY_REGULAR,GOOD,,20469797,,
